2025-06-07 07:43:11 status unpacked libc-bin:arm64 2.36-9+deb12u10
2025-06-07 07:43:11 upgrade libc6:arm64 2.36-9+deb12u10 2.36-9+deb12u10
2025-06-07 07:43:11 status half-configured libc6:arm64 2.36-9+deb12u10
2025-06-07 07:43:11 status unpacked libc6:arm64 2.36-9+deb12u10
2025-06-07 07:43:11 status half-installed libc6:arm64 2.36-9+deb12u10
2025-06-07 07:43:13 status unpacked libc6:arm64 2.36-9+deb12u10
2025-06-07 07:43:13 install libcap-ng0:arm64 <none> 0.8.3-1+b3
2025-06-07 07:43:13 status half-installed libcap-ng0:arm64 0.8.3-1+b3
2025-06-07 07:43:13 status unpacked libcap-ng0:arm64 0.8.3-1+b3
2025-06-07 07:43:13 install libcap2:arm64 <none> 1:2.66-4+deb12u1
2025-06-07 07:43:13 status half-installed libcap2:arm64 1:2.66-4+deb12u1
2025-06-07 07:43:13 status unpacked libcap2:arm64 1:2.66-4+deb12u1
2025-06-07 07:43:13 install libcom-err2:arm64 <none> 1.47.0-2
2025-06-07 07:43:13 status half-installed libcom-err2:arm64 1.47.0-2
2025-06-07 07:43:13 status unpacked libcom-err2:arm64 1.47.0-2
2025-06-07 07:43:14 install libcrypt1:arm64 <none> 1:4.4.33-2
2025-06-07 07:43:14 status half-installed libcrypt1:arm64 1:4.4.33-2
2025-06-07 07:43:14 status unpacked libcrypt1:arm64 1:4.4.33-2
2025-06-07 07:43:14 install libdb5.3:arm64 <none> 5.3.28+dfsg2-1
2025-06-07 07:43:14 status half-installed libdb5.3:arm64 5.3.28+dfsg2-1
2025-06-07 07:43:14 status unpacked libdb5.3:arm64 5.3.28+dfsg2-1
2025-06-07 07:43:14 install libdebconfclient0:arm64 <none> 0.270
2025-06-07 07:43:14 status half-installed libdebconfclient0:arm64 0.270
2025-06-07 07:43:14 status unpacked libdebconfclient0:arm64 0.270
2025-06-07 07:43:14 install libext2fs2:arm64 <none> 1.47.0-2
2025-06-07 07:43:14 status half-installed libext2fs2:arm64 1.47.0-2
2025-06-07 07:43:14 status unpacked libext2fs2:arm64 1.47.0-2
2025-06-07 07:43:15 install libffi8:arm64 <none> 3.4.4-1
2025-06-07 07:43:15 status half-installed libffi8:arm64 3.4.4-1
2025-06-07 07:43:15 status unpacked libffi8:arm64 3.4.4-1
2025-06-07 07:43:15 install libgcc-s1:arm64 <none> 12.2.0-14+deb12u1
2025-06-07 07:43:15 status half-installed libgcc-s1:arm64 12.2.0-14+deb12u1
2025-06-07 07:43:15 status unpacked libgcc-s1:arm64 12.2.0-14+deb12u1
2025-06-07 07:43:15 install libgcrypt20:arm64 <none> 1.10.1-3
2025-06-07 07:43:15 status half-installed libgcrypt20:arm64 1.10.1-3
2025-06-07 07:43:15 status unpacked libgcrypt20:arm64 1.10.1-3
2025-06-07 07:43:15 install libgmp10:arm64 <none> 2:6.2.1+dfsg1-1.1
2025-06-07 07:43:15 status half-installed libgmp10:arm64 2:6.2.1+dfsg1-1.1
2025-06-07 07:43:16 status unpacked libgmp10:arm64 2:6.2.1+dfsg1-1.1
2025-06-07 07:43:16 install libgnutls30:arm64 <none> 3.7.9-2+deb12u4
2025-06-07 07:43:16 status half-installed libgnutls30:arm64 3.7.9-2+deb12u4
2025-06-07 07:43:16 status unpacked libgnutls30:arm64 3.7.9-2+deb12u4
2025-06-07 07:43:16 install libgpg-error0:arm64 <none> 1.46-1
2025-06-07 07:43:16 status half-installed libgpg-error0:arm64 1.46-1
2025-06-07 07:43:16 status unpacked libgpg-error0:arm64 1.46-1
2025-06-07 07:43:16 install libhogweed6:arm64 <none> 3.8.1-2
2025-06-07 07:43:16 status half-installed libhogweed6:arm64 3.8.1-2
2025-06-07 07:43:17 status unpacked libhogweed6:arm64 3.8.1-2
2025-06-07 07:43:17 install libidn2-0:arm64 <none> 2.3.3-1+b1
2025-06-07 07:43:17 status half-installed libidn2-0:arm64 2.3.3-1+b1
2025-06-07 07:43:17 status unpacked libidn2-0:arm64 2.3.3-1+b1
2025-06-07 07:43:17 install liblz4-1:arm64 <none> 1.9.4-1
2025-06-07 07:43:17 status half-installed liblz4-1:arm64 1.9.4-1
2025-06-07 07:43:17 status unpacked liblz4-1:arm64 1.9.4-1
2025-06-07 07:43:17 install liblzma5:arm64 <none> 5.4.1-1
2025-06-07 07:43:17 status half-installed liblzma5:arm64 5.4.1-1
2025-06-07 07:43:17 status unpacked liblzma5:arm64 5.4.1-1
2025-06-07 07:43:17 install libmd0:arm64 <none> 1.0.4-2
2025-06-07 07:43:17 status half-installed libmd0:arm64 1.0.4-2
2025-06-07 07:43:17 status unpacked libmd0:arm64 1.0.4-2
2025-06-07 07:43:18 install libmount1:arm64 <none> 2.38.1-5+deb12u3
2025-06-07 07:43:18 status half-installed libmount1:arm64 2.38.1-5+deb12u3
2025-06-07 07:43:18 status unpacked libmount1:arm64 2.38.1-5+deb12u3
2025-06-07 07:43:18 install libnettle8:arm64 <none> 3.8.1-2
2025-06-07 07:43:18 status half-installed libnettle8:arm64 3.8.1-2
2025-06-07 07:43:18 status unpacked libnettle8:arm64 3.8.1-2
2025-06-07 07:43:18 install libp11-kit0:arm64 <none> 0.24.1-2
2025-06-07 07:43:18 status half-installed libp11-kit0:arm64 0.24.1-2
2025-06-07 07:43:18 status unpacked libp11-kit0:arm64 0.24.1-2
2025-06-07 07:43:18 install libpam-modules:arm64 <none> 1.5.2-6+deb12u1
2025-06-07 07:43:18 status half-installed libpam-modules:arm64 1.5.2-6+deb12u1
2025-06-07 07:43:19 status unpacked libpam-modules:arm64 1.5.2-6+deb12u1
2025-06-07 07:43:19 install libpam-modules-bin:arm64 <none> 1.5.2-6+deb12u1
2025-06-07 07:43:19 status half-installed libpam-modules-bin:arm64 1.5.2-6+deb12u1
2025-06-07 07:43:20 status unpacked libpam-modules-bin:arm64 1.5.2-6+deb12u1
2025-06-07 07:43:20 install libpam-runtime:all <none> 1.5.2-6+deb12u1
2025-06-07 07:43:20 status half-installed libpam-runtime:all 1.5.2-6+deb12u1
2025-06-07 07:43:20 status unpacked libpam-runtime:all 1.5.2-6+deb12u1
2025-06-07 07:43:20 install libpam0g:arm64 <none> 1.5.2-6+deb12u1
2025-06-07 07:43:20 status half-installed libpam0g:arm64 1.5.2-6+deb12u1
